3.6,0.00
3.61,0.07
15.4,0.14
28.9,0.21
47,0.29
51.4,0.36
67.4,0.43
75.1,0.50
75.3,0.57
81.9,0.64
82.6,0.71
99.7,0.79
166.6,0.86
187.7,0.93
200,1
